Producto;Precio;Cantidad;Costo_envio;Categoria;;;;;;;
Laptop;3500000;4;50000;Tecnología;;;;;;;
Mouse;80000;15;10000;Tecnología;;;;;;;
Teclado;120000;10;12000;Tecnología;;;;;;;
Silla;450000;5;30000;Oficina;;;;;;;
Escritorio;900000;3;40000;Oficina;;;;;;;
Monitor;1100000;6;35000;Tecnología;;;;;;;
Celular Samsung A55;1800000;8;25000;Tecnología;;;;;;;
iPhone 13;3200000;5;30000;Tecnología;;;;;;;
Tablet Lenovo;950000;7;20000;Tecnología;;;;;;;
Audífonos Bluetooth;150000;20;10000;Tecnología;;;;;;;
Impresora HP;650000;4;25000;Tecnología;;;;;;;
Disco SSD 1TB;420000;9;15000;Tecnología;;;;;;;
Memoria USB 64GB;50000;30;5000;Tecnología;;;;;;;
Cámara Web;180000;12;8000;Tecnología;;;;;;;
Parlante JBL;350000;10;12000;Tecnología;;;;;;;
Smartwatch Xiaomi;280000;14;10000;Tecnología;;;;;;;
Router TP-Link;220000;11;9000;Tecnología;;;;;;;
Tarjeta Gráfica RTX 4060;2500000;3;40000;Tecnología;;;;;;;
Procesador Ryzen 7;1700000;5;30000;Tecnología;;;;;;;
Fuente Poder 750W;380000;6;15000;Tecnología;;;;;;;
Monitor Gamer;1450000;4;35000;Tecnología;;;;;;;
Silla Gamer;980000;3;30000;Tecnología;;;;;;;
Teclado Mecánico RGB;260000;13;12000;Tecnología;;;;;;;
Mouse Gamer Logitech;190000;18;10000;Tecnología;;;;;;;
Cámara Canon EOS;4200000;2;50000;Tecnología;;;;;;;
Micrófono HyperX;320000;7;15000;Tecnología;;;;;;;
Laptop ASUS TUF;4200000;3;50000;Tecnología;;;;;;;
Laptop Lenovo IdeaPad;2800000;4;45000;Tecnología;;;;;;;
iPad Air;3100000;3;30000;Tecnología;;;;;;;
Smart TV 55 pulgadas;2600000;2;45000;Tecnología;;;;;;;
Consola PS5;3400000;4;50000;Tecnología;;;;;;;
Xbox Series X;3300000;3;50000;Tecnología;;;;;;;
Nintendo Switch;1800000;5;30000;Tecnología;;;;;;;
Cámara GoPro;2100000;4;35000;Tecnología;;;;;;;
Drone DJI Mini;4500000;2;60000;Tecnología;;;;;;;
Alexa Echo Dot;250000;10;8000;Tecnología;;;;;;;
Google Chromecast;180000;11;7000;Tecnología;;;;;;;
Disco Duro Externo 2TB;520000;6;15000;Tecnología;;;;;;;
RAM 16GB DDR5;480000;8;12000;Tecnología;;;;;;;
Ventilador RGB PC;90000;15;5000;Tecnología;;;;;;;
UPS APC;750000;4;25000;Tecnología;;;;;;;
Proyector Epson;1900000;3;35000;Tecnología;;;;;;;
Tablet Samsung S9;2700000;4;30000;Tecnología;;;;;;;
MacBook Air M2;5200000;2;60000;Tecnología;;;;;;;
AirPods Pro;1200000;6;15000;Tecnología;;;;;;;
Smart Band Huawei;210000;12;9000;Tecnología;;;;;;;
Cámara de Seguridad;350000;9;12000;Tecnología;;;;;;;
Switch de Red;430000;5;14000;Tecnología;;;;;;;
Adaptador HDMI;45000;25;4000;Tecnología;;;;;;;
Cable USB-C;30000;40;3000;Tecnología;;;;;;;
Laptop HP Victus;3900000;3;50000;Tecnología;;;;;;;
Celular Redmi Note 13;1300000;7;20000;Tecnología;;;;;;;
Tablet Huawei MatePad;1600000;5;25000;Tecnología;;;;;;;
Smart TV Samsung 65;4200000;2;55000;Tecnología;;;;;;;
Refrigeración Líquida PC;650000;4;18000;Tecnología;;;;;;;
Cámara Sony Alpha;5100000;2;60000;Tecnología;;;;;;;
Joystick PS5;320000;10;10000;Tecnología;;;;;;;
Mouse Pad RGB;80000;16;5000;Tecnología;;;;;;;
Hub USB 3.0;95000;14;6000;Tecnología;;;;;;;
SSD NVMe 2TB;780000;5;16000;Tecnología;;;;;;;
